| Company | Model | Instructions | Config | Success | Error |
| ------- | ----- | ------------ | ------ | ------- | ----- |
| Anthropic | claude-3-opus-20240229 | Basic | Filter is not enabled | ✗ |  |
| Anthropic | claude-3-opus-20240229 (with filter) | Basic | Filter is not enabled | ✓ |  |
| Anthropic | claude-3-opus-20240229 | Detailed | Filter is not enabled | ✗ |  |
| Anthropic | claude-3-opus-20240229 (with filter) | Detailed | Filter is not enabled | ✓ |  |
| Anthropic | claude-3-opus-20240229 | Basic | Filter is enabled | ✗ |  |
| Anthropic | claude-3-opus-20240229 (with filter) | Basic | Filter is enabled | ✓ |  |
| Anthropic | claude-3-opus-20240229 | Detailed | Filter is enabled | ✗ |  |
| Anthropic | claude-3-opus-20240229 (with filter) | Detailed | Filter is enabled | ✓ |  |
| Anthropic | claude-3-sonnet-20240229 | Basic | Filter is not enabled | ✓ |  |
| Anthropic | claude-3-sonnet-20240229 (with filter) | Basic | Filter is not enabled | ✓ |  |
| Anthropic | claude-3-sonnet-20240229 | Detailed | Filter is not enabled | ✓ |  |
| Anthropic | claude-3-sonnet-20240229 (with filter) | Detailed | Filter is not enabled | ✓ |  |
| Anthropic | claude-3-sonnet-20240229 | Basic | Filter is enabled | ✓ |  |
| Anthropic | claude-3-sonnet-20240229 (with filter) | Basic | Filter is enabled | ✓ |  |
| Anthropic | claude-3-sonnet-20240229 | Detailed | Filter is enabled | ✓ |  |
| Anthropic | claude-3-sonnet-20240229 (with filter) | Detailed | Filter is enabled | ✓ |  |
| Cohere | command-r | Basic | Filter is not enabled | ✓ |  |
| Cohere | command-r (with filter) | Basic | Filter is not enabled | ✓ |  |
| Cohere | command-r | Detailed | Filter is not enabled | ✓ |  |
| Cohere | command-r (with filter) | Detailed | Filter is not enabled | ✓ |  |
| Cohere | command-r | Basic | Filter is enabled | ✓ |  |
| Cohere | command-r (with filter) | Basic | Filter is enabled | ✗ | your request resulted in an invalid generation. Try updating the messages or tool definitions. |
| Cohere | command-r | Detailed | Filter is enabled | ✓ |  |
| Cohere | command-r (with filter) | Detailed | Filter is enabled | ✗ | your request resulted in an invalid generation. Try updating the messages or tool definitions. |
| DeepInfra | mistral-7b-instruct-v0.2 | Basic | Filter is not enabled | ✗ |  |
| DeepInfra | mistral-7b-instruct-v0.2 (with filter) | Basic | Filter is not enabled | ✗ |  |
| DeepInfra | mistral-7b-instruct-v0.2 | Detailed | Filter is not enabled | ✓ |  |
| DeepInfra | mistral-7b-instruct-v0.2 (with filter) | Detailed | Filter is not enabled | ✗ |  |
| DeepInfra | mistral-7b-instruct-v0.2 | Basic | Filter is enabled | ✗ |  |
| DeepInfra | mistral-7b-instruct-v0.2 (with filter) | Basic | Filter is enabled | ✗ |  |
| DeepInfra | mistral-7b-instruct-v0.2 | Detailed | Filter is enabled | ✗ |  |
| DeepInfra | mistral-7b-instruct-v0.2 (with filter) | Detailed | Filter is enabled | ✗ |  |
| DeepInfra | mixtral-8x7b-instruct-v0.1 | Basic | Filter is not enabled | ✗ |  |
| DeepInfra | mixtral-8x7b-instruct-v0.1 (with filter) | Basic | Filter is not enabled | ✗ |  |
| DeepInfra | mixtral-8x7b-instruct-v0.1 | Detailed | Filter is not enabled | ✗ |  |
| DeepInfra | mixtral-8x7b-instruct-v0.1 (with filter) | Detailed | Filter is not enabled | ✗ |  |
| DeepInfra | mixtral-8x7b-instruct-v0.1 | Basic | Filter is enabled | ✗ |  |
| DeepInfra | mixtral-8x7b-instruct-v0.1 (with filter) | Basic | Filter is enabled | ✗ |  |
| DeepInfra | mixtral-8x7b-instruct-v0.1 | Detailed | Filter is enabled | ✗ |  |
| DeepInfra | mixtral-8x7b-instruct-v0.1 (with filter) | Detailed | Filter is enabled | ✗ |  |
| DeepInfra | llama-2-70b-chat-hf | Basic | Filter is not enabled | ✓ |  |
| DeepInfra | llama-2-70b-chat-hf (with filter) | Basic | Filter is not enabled | ✓ |  |
| DeepInfra | llama-2-70b-chat-hf | Detailed | Filter is not enabled | ✓ |  |
| DeepInfra | llama-2-70b-chat-hf (with filter) | Detailed | Filter is not enabled | ✓ |  |
| DeepInfra | llama-2-70b-chat-hf | Basic | Filter is enabled | ✓ |  |
| DeepInfra | llama-2-70b-chat-hf (with filter) | Basic | Filter is enabled | ✗ |  |
| DeepInfra | llama-2-70b-chat-hf | Detailed | Filter is enabled | ✓ |  |
| DeepInfra | llama-2-70b-chat-hf (with filter) | Detailed | Filter is enabled | ✓ |  |
| DeepSeek | deepseek-coder | Basic | Filter is not enabled | ✓ |  |
| DeepSeek | deepseek-coder (with filter) | Basic | Filter is not enabled | ✓ | No response |
| DeepSeek | deepseek-coder | Detailed | Filter is not enabled | ✓ |  |
| DeepSeek | deepseek-coder (with filter) | Detailed | Filter is not enabled | ✓ | No response |
| DeepSeek | deepseek-coder | Basic | Filter is enabled | ✓ | No response |
| DeepSeek | deepseek-coder (with filter) | Basic | Filter is enabled | ✓ | No response |
| DeepSeek | deepseek-coder | Detailed | Filter is enabled | ✓ | No response |
| DeepSeek | deepseek-coder (with filter) | Detailed | Filter is enabled | ✓ |  |
| DeepSeek | deepseek-chat | Basic | Filter is not enabled | ✓ |  |
| DeepSeek | deepseek-chat (with filter) | Basic | Filter is not enabled | ✗ | |
| DeepSeek | deepseek-chat | Detailed | Filter is not enabled | ✓ |  |
| DeepSeek | deepseek-chat (with filter) | Detailed | Filter is not enabled | ✓ | No response |
| DeepSeek | deepseek-chat | Basic | Filter is enabled | ✓ | No response |
| DeepSeek | deepseek-chat (with filter) | Basic | Filter is enabled | ✓ | No response |
| DeepSeek | deepseek-chat | Detailed | Filter is enabled | ✓ |  |
| DeepSeek | deepseek-chat (with filter) | Detailed | Filter is enabled | ✓ |  |
| Google | gemini-1.5-pro | Basic | Filter is not enabled | ✓ |  |
| Google | gemini-1.5-pro (with filter) | Basic | Filter is not enabled | ✓ |  |
| Google | gemini-1.5-pro | Detailed | Filter is not enabled | ✓ |  |
| Google | gemini-1.5-pro (with filter) | Detailed | Filter is not enabled | ✓ |  |
| Google | gemini-1.5-pro | Basic | Filter is enabled | ✓ |  |
| Google | gemini-1.5-pro (with filter) | Basic | Filter is enabled | ✓ |  |
| Google | gemini-1.5-pro | Detailed | Filter is enabled | ✓ |  |
| Google | gemini-1.5-pro (with filter) | Detailed | Filter is enabled | ✓ |  |
| Google | gemini-1.5-flash | Basic | Filter is not enabled | ✓ |  |
| Google | gemini-1.5-flash (with filter) | Basic | Filter is not enabled | ✗ |  |
| Google | gemini-1.5-flash | Detailed | Filter is not enabled | ✓ |  |
| Google | gemini-1.5-flash (with filter) | Detailed | Filter is not enabled | ✗ |  |
| Google | gemini-1.5-flash | Basic | Filter is enabled | ✓ |  |
| Google | gemini-1.5-flash (with filter) | Basic | Filter is enabled | ✓ |  |
| Google | gemini-1.5-flash | Detailed | Filter is enabled | ✓ |  |
| Google | gemini-1.5-flash (with filter) | Detailed | Filter is enabled | ✓ |  |
| Groq | mixtral-8x7b-32768 | Basic | Filter is not enabled | ✗ |  |
| Groq | mixtral-8x7b-32768 (with filter) | Basic | Filter is not enabled | ✓ |  |
| Groq | mixtral-8x7b-32768 | Detailed | Filter is not enabled | ✓ |  |
| Groq | mixtral-8x7b-32768 (with filter) | Detailed | Filter is not enabled | ✓ |  |
| Groq | mixtral-8x7b-32768 | Basic | Filter is enabled | ✓ |  |
| Groq | mixtral-8x7b-32768 (with filter) | Basic | Filter is enabled | ✓ |  |
| Groq | mixtral-8x7b-32768 | Detailed | Filter is enabled | ✓ |  |
| Groq | mixtral-8x7b-32768 (with filter) | Detailed | Filter is enabled | ✓ |  |
| Ollama | llama3.2 | Basic | Filter is not enabled | ✓ |  |
| Ollama | llama3.2 (with filter) | Basic | Filter is not enabled | ✓ |  |
| Ollama | llama3.2 | Detailed | Filter is not enabled | ✓ |  |
| Ollama | llama3.2 (with filter) | Detailed | Filter is not enabled | ✓ |  |
| Ollama | llama3.2 | Basic | Filter is enabled | ✓ |  |
| Ollama | llama3.2 (with filter) | Basic | Filter is enabled | ✓ |  |
| Ollama | llama3.2 | Detailed | Filter is enabled | ✓ |  |
| Ollama | llama3.2 (with filter) | Detailed | Filter is enabled | ✓ |  |
| Ollama | llama3.1 | Basic | Filter is not enabled | ✓ |  |
| Ollama | llama3.1 (with filter) | Basic | Filter is not enabled | ✓ |  |
| Ollama | llama3.1 | Detailed | Filter is not enabled | ✓ |  |
| Ollama | llama3.1 (with filter) | Detailed | Filter is not enabled | ✓ |  |
| Ollama | llama3.1 | Basic | Filter is enabled | ✓ |  |
| Ollama | llama3.1 (with filter) | Basic | Filter is enabled | ✓ |  |
| Ollama | llama3.1 | Detailed | Filter is enabled | ✓ |  |
